,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
183,KRC,09:00,1.0,1000,100000000.0,İşlem Görüyor, ,TRYKARE00036,17:30,1.0,1000,100000000.0, ,0.0013
184,KRF,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYKARP00016,17:30,2.0,1,100000000.0, ,0.007
185,KRS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYKARE00051,17:30,3.0,1,0.0, ,0.0031
186,KRT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYKARP00024,17:30,3.0,1,0.0, ,0.0014
187,KSV,09:00,0.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00160,12:30,0.0,1,10000000000.0, ,0.0049
188,KTM,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00012,17:45,2.0,1,10000000000.0, ,0.004
189,KTN,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00020,17:45,1.0,1,10000000000.0, ,0.0004
190,KTR,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00038,17:45,1.0,1,10000000000.0, ,0.0052
191,KTS,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00046,17:45,2.0,1,10000000000.0, ,0.0027
192,KTT,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00053,17:45,2.0,1,10000000000.0, ,0.0075
193,KTV,09:00,0.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00061,12:30,0.0,1,10000000000.0, ,0.0093
194,KUB,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYKARE00044,17:30,3.0,1,100000000.0, ,0.0032
195,KYA,09:00,1.0,100,100000000.0,İşlem Görüyor, ,TRYKARE00010,17:30,2.0,100,100000000.0, ,0.0067
196,KZL,09:00,1.0,1,1000000000.0,İşlem Görüyor, ,TRYKTPY00152,17:45,1.0,1,1000000000.0, ,0.0045
197,MAC,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYSRMD00010,17:00,2.0,1,0.0, ,0.0021
198,MAD,09:00,1.0,10,0.0,İşlem Görüyor, ,TRMMADWWWWW7,13:30,2.0,10,0.0, ,0.0053
199,MBL,09:00,1.0,10,0.0,İşlem Görüyor, ,TRMMAKWWWWW2,13:30,2.0,10,0.0, ,0.0098
200,MJG,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00224,17:45,3.0,1,0.0, ,0.0018
201,MJL,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYMKFT00232,13:30,0.0,1,0.0, ,0.0047
